#,t,dt
1E-16,1.07975186206437E-17
1.38038426460289E-16,1.52415790275978E-17
1.90546071796324E-16,2.10392358573974E-17
2.63026799189538E-16,2.90422301168199E-17
3.63078054770102E-16,4.00894374622343E-17
5.01187233627272E-16,5.53388286496497E-17
6.91830970918936E-16,7.63888482895318E-17
9.54992586021437E-16,1.05445964170006E-16
1.3182567385564E-15,1.45555949706157E-16
1.81970085860998E-15,2.00923142593708E-16
2.51188643150958E-15,2.77351144430915E-16
3.46736850452531E-15,3.82851155542038E-16
4.78630092322638E-15,5.28481710795261E-16
6.60693448007596E-15,7.29507837712192E-16
9.12010839355911E-15,1.00700114008238E-15
1.25892541179417E-14,1.39004852820689E-15
1.73780082874938E-14,1.91880111537119E-15
2.39883291901949E-14,2.64868286656085E-15
3.31131121482591E-14,3.65620015092386E-15
4.57088189614875E-14,5.046961156574E-15
6.30957344480194E-14,6.9667457645967E-15
8.7096358995608E-14,9.61678622893809E-15
1.20226443461741E-13,1.32748603864759E-14
1.65958690743756E-13,1.83244083922914E-14
2.29086765276777E-13,2.52947250028762E-14
3.16227766016838E-13,3.49164403714275E-14
4.36515832240167E-13,4.81981048646633E-14
6.02559586074357E-13,6.6531905538861E-14
8.31763771102671E-13,9.18395954998893E-14
1.14815362149688E-12,1.26773932495541E-13
1.58489319246111E-12,1.74996741578673E-13
2.18776162394955E-12,2.1252493370168E-13
3.01995172040202E-12,2.53126698764871E-13
4.16869383470335E-12,3.15485210819695E-13
5.75439937337157E-12,4.48459978070699E-13
7.94328234724282E-12,6.38088024050948E-13
1.09647819614318E-11,8.76860060417508E-13
1.51356124843621E-11,1.33647319069976E-12
2.08929613085404E-11,2.03699617543162E-12
2.88403150312661E-11,2.86253355736226E-12
3.98107170553497E-11,3.65254869757932E-12
5.49540873857625E-11,4.78647557420619E-12
7.58577575029185E-11,6.68158031473404E-12
1.0471285480509E-10,9.8175826366164E-12
1.44543977074593E-10,1.49635461615616E-11
1.99526231496888E-10,2.20307844954568E-11
2.75422870333816E-10,3.04109482543859E-11
3.80189396320561E-10,4.19787944420069E-11
5.24807460249773E-10,4.73740585433361E-11
7.24435960074989E-10,5.29793773742251E-11
0.000000001,1.60081813458419E-11
1.38038426460289E-09,5.66802663251728E-11
1.90546071796324E-09,5.75568045313995E-12
2.63026799189538E-09,2.55485545773218E-11
3.63078054770102E-09,2.92720683101521E-11
0.000000005,1.628931582168E-11
6.91830970918936E-09,9.20485749955442E-12
9.54992586021437E-09,2.56541982352467E-11
1.31825673855641E-08,4.35353414380088E-11
1.81970085860998E-08,5.07562909513239E-11
2.51188643150958E-08,5.09661689787703E-11
3.46736850452532E-08,2.17392942198076E-11
4.78630092322638E-08,3.05577106315992E-11
6.60693448007596E-08,5.12693853509279E-11
9.1201083935591E-08,5.6965983723296E-11
1.25892541179417E-07,6.32955374703762E-11
1.73780082874938E-07,6.32955374703762E-11
2.39883291901949E-07,6.32955374703762E-11
3.31131121482591E-07,6.32955374703762E-11
4.57088189614875E-07,7.03283749669753E-11
0.000000631,7.81426388522532E-11
0.000000871,8.68251542803463E-11
1.20226443461741E-06,8.68251542803463E-11
1.65958690743756E-06,8.68251542803463E-11
2.29086765276777E-06,8.79388275691266E-11
3.16227766016838E-06,3.77640514244354E-11
4.36515832240166E-06,8.05822614435664E-11
6.02559586074358E-06,2.56786298638483E-10
8.31763771102671E-06,8.85348706664505E-11
1.14815362149688E-05,8.85348706664505E-11
1.58489319246111E-05,8.85348706664505E-11
2.18776162394955E-05,8.85348706664505E-11
3.01995172040202E-05,8.85348706664505E-11
4.16869383470335E-05,1.09302309464917E-10
0.000057544,1.851044208451E-10
7.94328234724282E-05,3.48306624526669E-10
0.0001096478,3.71243353775766E-10
0.0001513561,8.62419587722555E-10
0.0002089296,3.05357434802281E-09
0.0002884032,5.62016696614366E-09
0.0003981072,5.62003625820808E-09
0.0005495409,5.62003625820808E-09
0.0007585776,5.62003625820808E-09
0.0010471285,5.62003625820808E-09
0.0014454398,5.62002276520373E-09
0.0019952623,5.62002276520373E-09
0.0027542287,5.62002276520373E-09
0.003801894,5.62002276520373E-09
0.0052480746,5.62002276520373E-09
0.0072443596,5.62002123350506E-09
0.01,5.62002123350506E-09
