-1.999408e+01 -2.186273e+01 -2.100000e+01 -2.000000e+00 -1.330587e+01 -1.239143e+01 -inf -inf -inf -inf -1.169343e+01 -3.010995e-01 -3.010300e-01 -1.101327e+01 -1.232528e+01 -1.401578e+01 -inf -inf -inf -inf  -inf -inf -inf -inf
-1.669861e+01 -1.769880e+01 -1.774434e+01 -2.000000e+00 -8.141989e+00 -7.227526e+00 -1.571269e+01 -2.164436e+01 -1.317538e+01 -2.260429e+01 -6.529526e+00 -3.011023e-01 -3.010301e-01 -5.849363e+00 -7.161380e+00 -8.851872e+00 -2.127261e+01 -3.502916e+01 -4.347887e+01 -5.806474e+01  -7.279004e+01 -8.844455e+01 -1.049392e+02 -9.301845e+01
-1.646990e+01 -1.747001e+01 -1.751564e+01 -2.000000e+00 -7.913204e+00 -6.998729e+00 -1.513937e+01 -2.095778e+01 -1.271786e+01 -2.191767e+01 -6.300728e+00 -3.011043e-01 -3.010302e-01 -5.620567e+00 -6.932583e+00 -8.623073e+00 -2.058622e+01 -3.388426e+01 -4.187728e+01 -5.600554e+01  -7.027322e+01 -8.547013e+01 -1.015072e+02 -9.004403e+01
-1.624115e+01 -1.724122e+01 -1.728690e+01 -2.000000e+00 -7.684432e+00 -6.769938e+00 -1.453686e+01 -2.027108e+01 -1.226038e+01 -2.123092e+01 -6.071936e+00 -3.011076e-01 -3.010304e-01 -5.391776e+00 -6.703791e+00 -8.394279e+00 -1.989984e+01 -3.273877e+01 -4.027571e+01 -5.394639e+01  -6.775648e+01 -8.249579e+01 -9.807524e+01 -8.706968e+01
-1.601239e+01 -1.701243e+01 -1.705815e+01 -2.000000e+00 -7.455679e+00 -6.541152e+00 -1.390888e+01 -1.958417e+01 -1.180300e+01 -2.054390e+01 -5.843147e+00 -3.011132e-01 -3.010306e-01 -5.162990e+00 -6.475002e+00 -8.165486e+00 -1.921346e+01 -3.159223e+01 -3.867418e+01 -5.188726e+01  -6.523977e+01 -7.952149e+01 -9.464336e+01 -8.409537e+01
-1.578362e+01 -1.678365e+01 -1.682938e+01 -2.000000e+00 -7.226955e+00 -6.312370e+00 -1.326112e+01 -1.889690e+01 -1.134575e+01 -1.985640e+01 -5.614361e+00 -3.011227e-01 -3.010311e-01 -4.934210e+00 -6.246217e+00 -7.936695e+00 -1.852710e+01 -3.044392e+01 -3.707265e+01 -4.982816e+01  -6.272309e+01 -7.654723e+01 -9.121152e+01 -8.112108e+01
-1.555484e+01 -1.655486e+01 -1.660060e+01 -2.000000e+00 -6.998276e+00 -6.083594e+00 -1.259932e+01 -1.820901e+01 -1.088874e+01 -1.916803e+01 -5.385579e+00 -3.011388e-01 -3.010318e-01 -4.705437e+00 -6.017436e+00 -7.707904e+00 -1.784074e+01 -2.929261e+01 -3.547114e+01 -4.776908e+01  -6.020643e+01 -7.357300e+01 -8.777970e+01 -7.814674e+01
-1.537182e+01 -1.637183e+01 -1.641758e+01 -2.000000e+00 -6.815387e+00 -5.900580e+00 -1.206301e+01 -1.765796e+01 -1.052340e+01 -1.861620e+01 -5.202557e+00 -3.011594e-01 -3.010327e-01 -4.522426e+00 -5.834416e+00 -7.524869e+00 -1.729166e+01 -2.836806e+01 -3.418995e+01 -4.612182e+01  -5.819312e+01 -7.119362e+01 -8.503427e+01 -7.576715e+01
-1.514304e+01 -1.614304e+01 -1.618879e+01 -2.000000e+00 -6.586884e+00 -5.671827e+00 -1.138704e+01 -1.696765e+01 -1.006728e+01 -1.792371e+01 -4.973787e+00 -3.012010e-01 -3.010346e-01 -4.293678e+00 -5.605649e+00 -7.296074e+00 -1.660531e+01 -2.720528e+01 -3.258846e+01 -4.406277e+01  -5.567650e+01 -6.821944e+01 -8.160249e+01 -7.279228e+01
-1.491425e+01 -1.591425e+01 -1.596001e+01 -2.000000e+00 -6.358582e+00 -5.443097e+00 -1.070718e+01 -1.627460e+01 -9.612159e+00 -1.722525e+01 -4.745030e+00 -3.012714e-01 -3.010378e-01 -4.064958e+00 -5.376896e+00 -7.067274e+00 -1.591898e+01 -2.602982e+01 -3.098701e+01 -4.200376e+01  -5.315993e+01 -6.524529e+01 -7.817073e+01 -6.981615e+01
-1.468546e+01 -1.568547e+01 -1.573122e+01 -2.000000e+00 -6.130622e+00 -5.214407e+00 -1.002513e+01 -1.557689e+01 -9.158722e+00 -1.651396e+01 -4.516292e+00 -3.013906e-01 -3.010433e-01 -3.836286e+00 -5.148167e+00 -6.838466e+00 -1.523267e+01 -2.483372e+01 -2.938559e+01 -3.994479e+01  -5.064342e+01 -6.227119e+01 -7.473894e+01 -6.683643e+01
-1.445668e+01 -1.545668e+01 -1.550244e+01 -2.000000e+00 -5.903252e+00 -4.985784e+00 -9.342065e+00 -1.487130e+01 -8.708095e+00 -1.577526e+01 -4.287589e+00 -3.015925e-01 -3.010525e-01 -3.607691e+00 -4.919480e+00 -6.609643e+00 -1.454638e+01 -2.360531e+01 -2.778424e+01 -3.788592e+01  -4.812701e+01 -5.929715e+01 -7.130695e+01 -6.384667e+01
-1.427365e+01 -1.527365e+01 -1.531941e+01 -2.000000e+00 -5.722066e+00 -4.802964e+00 -8.795513e+00 -1.429763e+01 -8.350819e+00 -1.514727e+01 -4.104665e+00 -3.018507e-01 -3.010644e-01 -3.424907e+00 -4.736577e+00 -6.426566e+00 -1.399736e+01 -2.258947e+01 -2.650324e+01 -3.623891e+01  -4.611401e+01 -5.691793e+01 -6.856090e+01 -6.143720e+01
-1.404486e+01 -1.504486e+01 -1.509062e+01 -2.000000e+00 -5.497097e+00 -4.574594e+00 -8.112992e+00 -1.356218e+01 -7.910586e+00 -1.428926e+01 -3.876084e+00 -3.023711e-01 -3.010886e-01 -3.196607e+00 -4.508048e+00 -6.197681e+00 -1.331109e+01 -2.126624e+01 -2.490213e+01 -3.418036e+01  -4.359801e+01 -5.394376e+01 -6.512656e+01 -5.837659e+01
-1.381607e+01 -1.481607e+01 -1.486183e+01 -2.000000e+00 -5.275078e+00 -4.346502e+00 -7.432373e+00 -1.279531e+01 -7.481259e+00 -1.333644e+01 -3.647626e+00 -3.032512e-01 -3.011300e-01 -2.968626e+00 -4.279696e+00 -5.968717e+00 -1.262467e+01 -1.987647e+01 -2.330130e+01 -3.212214e+01  -4.108245e+01 -5.096881e+01 -6.168660e+01 -5.522142e+01
-1.358729e+01 -1.458729e+01 -1.463304e+01 -2.000000e+00 -5.058598e+00 -4.118860e+00 -6.755664e+00 -1.198313e+01 -7.068393e+00 -1.230829e+01 -3.419343e+00 -3.047384e-01 -3.012013e-01 -2.741146e+00 -4.051643e+00 -5.739599e+00 -1.193763e+01 -1.842354e+01 -2.170089e+01 -3.006445e+01  -3.856759e+01 -4.799102e+01 -5.823081e+01 -5.195194e+01
-1.335850e+01 -1.435850e+01 -1.440426e+01 -2.000000e+00 -4.852973e+00 -3.891940e+00 -6.086644e+00 -1.111641e+01 -6.678059e+00 -1.124334e+01 -3.191271e+00 -3.072477e-01 -3.013257e-01 -2.514413e+00 -3.824092e+00 -5.510163e+00 -1.124846e+01 -1.692030e+01 -2.010113e+01 -2.800750e+01  -3.605383e+01 -4.500439e+01 -5.473510e+01 -4.859638e+01
-1.317547e+01 -1.417547e+01 -1.422123e+01 -2.000000e+00 -4.703488e+00 -3.711221e+00 -5.561877e+00 -1.038785e+01 -6.384179e+00 -1.038959e+01 -3.008950e+00 -3.104421e-01 -3.014903e-01 -2.333739e+00 -3.642630e+00 -5.326142e+00 -1.069264e+01 -1.569196e+01 -1.882194e+01 -2.636260e+01  -3.404392e+01 -4.259876e+01 -5.188246e+01 -4.587841e+01
-1.294668e+01 -1.394668e+01 -1.399244e+01 -2.000000e+00 -4.553038e+00 -3.487146e+00 -4.931083e+00 -9.459284e+00 -6.035047e+00 -9.349106e+00 -2.781122e+00 -3.168244e-01 -3.018357e-01 -2.108881e+00 -3.416946e+00 -5.094810e+00 -9.980694e+00 -1.413565e+01 -1.722391e+01 -2.430708e+01  -3.153314e+01 -3.954552e+01 -4.821640e+01 -4.246104e+01
-1.271789e+01 -1.371789e+01 -1.376365e+01 -2.000000e+00 -4.474138e+00 -3.267757e+00 -4.352761e+00 -8.566519e+00 -5.691307e+00 -8.374183e+00 -2.553363e+00 -3.274504e-01 -3.024367e-01 -1.884770e+00 -3.193208e+00 -4.860104e+00 -9.204523e+00 -1.256504e+01 -1.562689e+01 -2.225081e+01  -2.902314e+01 -3.640181e+01 -4.444468e+01 -3.903055e+01
-1.249305e+01 -1.368166e+01 -1.352213e+01 -2.000000e+00 -4.482916e+00 -3.065466e+00 -3.866081e+00 -7.789999e+00 -5.347579e+00 -7.493083e+00 -2.329890e+00 -3.444937e-01 -3.033961e-01 -1.663681e+00 -2.976310e+00 -4.620702e+00 -8.185509e+00 -1.092217e+01 -1.396549e+01 -2.006668e+01  -2.631267e+01 -3.278540e+01 -4.009616e+01 -3.518845e+01
-1.229937e+01 -1.390619e+01 -1.331024e+01 -2.000000e+00 -4.505462e+00 -2.913410e+00 -3.526906e+00 -7.281191e+00 -5.054691e+00 -6.826336e+00 -2.137214e+00 -3.670826e-01 -3.045800e-01 -1.469879e+00 -2.792561e+00 -4.397967e+00 -6.999306e+00 -9.495088e+00 -1.252749e+01 -1.816113e+01  -2.392448e+01 -2.955035e+01 -3.625533e+01 -3.180037e+01
-1.207072e+01 -1.374182e+01 -1.308008e+01 -2.000000e+00 -4.478366e+00 -2.769940e+00 -3.191793e+00 -6.872948e+00 -4.727872e+00 -6.145152e+00 -1.912571e+00 -4.075208e-01 -3.064327e-01 -1.239636e+00 -2.579997e+00 -4.084098e+00 -5.494151e+00 -7.862572e+00 -1.088235e+01 -1.597968e+01  -2.107193e+01 -2.598577e+01 -3.208367e+01 -2.794534e+01
-1.185597e+01 -1.376362e+01 -1.286137e+01 -2.000000e+00 -4.359978e+00 -2.658705e+00 -2.889541e+00 -6.561743e+00 -4.446138e+00 -5.593704e+00 -1.719848e+00 -4.641145e-01 -3.085428e-01 -1.045123e+00 -2.384998e+00 -3.648365e+00 -4.164586e+00 -6.391833e+00 -9.383767e+00 -1.391462e+01  -1.819783e+01 -2.280973e+01 -2.831985e+01 -2.417247e+01
-1.163926e+01 -1.432881e+01 -1.264015e+01 -2.000000e+00 -4.143457e+00 -2.539037e+00 -2.557938e+00 -6.176520e+00 -4.185729e+00 -5.102877e+00 -1.556325e+00 -5.443770e-01 -3.105330e-01 -9.103683e-01 -2.190160e+00 -3.025620e+00 -3.042192e+00 -5.064997e+00 -7.976547e+00 -1.170879e+01  -1.543695e+01 -1.990237e+01 -2.471050e+01 -2.040095e+01
