-1.999408e+01 -2.186273e+01 -2.100000e+01 -2.000000e+00 -1.330579e+01 -1.239143e+01 -inf -inf -inf -inf -1.169343e+01 -3.010995e-01 -3.010300e-01 -1.101326e+01 -1.232528e+01 -1.401578e+01 -inf -inf -inf -inf  -inf -inf -inf -inf
-1.976979e+01 -2.108485e+01 -2.079134e+01 -2.000000e+00 -1.159854e+01 -1.068418e+01 -2.288644e+01 -3.203217e+01 -2.009720e+01 -3.299438e+01 -9.986180e+00 -3.010995e-01 -3.010300e-01 -9.306017e+00 -1.061804e+01 -1.230853e+01 -3.165569e+01 -inf -inf -inf  -inf -inf -inf -inf
-1.955481e+01 -2.071879e+01 -2.058566e+01 -2.000000e+00 -1.119086e+01 -1.027650e+01 -2.206563e+01 -3.079837e+01 -1.927658e+01 -3.175920e+01 -9.578499e+00 -3.010995e-01 -3.010300e-01 -8.898335e+00 -1.021035e+01 -1.190085e+01 -3.042463e+01 -inf -inf -inf  -inf -inf -inf -inf
-1.931234e+01 -2.039849e+01 -2.034950e+01 -2.000000e+00 -1.085518e+01 -9.940822e+00 -2.139211e+01 -2.978765e+01 -1.860342e+01 -3.074801e+01 -9.242821e+00 -3.010995e-01 -3.010300e-01 -8.562657e+00 -9.874676e+00 -1.156517e+01 -2.941485e+01 -inf -inf -inf  -inf -inf -inf -inf
-1.911679e+01 -2.016970e+01 -2.015705e+01 -2.000000e+00 -1.062076e+01 -9.706400e+00 -2.092216e+01 -2.908307e+01 -1.813393e+01 -3.004327e+01 -9.008399e+00 -3.010995e-01 -3.010300e-01 -8.328236e+00 -9.640254e+00 -1.133075e+01 -2.871060e+01 -inf -inf -inf  -inf -inf -inf -inf
-1.886624e+01 -1.989515e+01 -1.990890e+01 -2.000000e+00 -1.034245e+01 -9.428089e+00 -2.036409e+01 -2.824727e+01 -1.757689e+01 -2.920736e+01 -8.730088e+00 -3.010995e-01 -3.010300e-01 -8.049924e+00 -9.361942e+00 -1.105243e+01 -2.787502e+01 -inf -inf -inf  -inf -inf -inf -inf
-1.865325e+01 -1.971212e+01 -1.969294e+01 -2.000000e+00 -1.011631e+01 -9.201953e+00 -1.990976e+01 -2.756730e+01 -1.712402e+01 -2.852733e+01 -8.503952e+00 -3.010995e-01 -3.010300e-01 -7.823789e+00 -9.135807e+00 -1.082630e+01 -2.719514e+01 -inf -inf -inf  -inf -inf -inf -inf
-1.844762e+01 -1.948334e+01 -1.948958e+01 -2.000000e+00 -9.903026e+00 -8.988667e+00 -1.947999e+01 -2.692530e+01 -1.669654e+01 -2.788519e+01 -8.290666e+00 -3.010995e-01 -3.010300e-01 -7.610502e+00 -8.922520e+00 -1.061301e+01 -2.655345e+01 -inf -inf -inf  -inf -inf -inf -inf
-1.823310e+01 -1.925455e+01 -1.927654e+01 -2.000000e+00 -9.683659e+00 -8.769299e+00 -1.903748e+01 -2.626759e+01 -1.625786e+01 -2.722740e+01 -8.071299e+00 -3.010995e-01 -3.010300e-01 -7.391134e+00 -8.703153e+00 -1.039364e+01 -2.589588e+01 -4.282005e+01 -inf -inf  -inf -inf -inf -inf
-1.798876e+01 -1.902576e+01 -1.903059e+01 -2.000000e+00 -9.436072e+00 -8.521713e+00 -1.853408e+01 -2.552267e+01 -1.576183e+01 -2.648239e+01 -7.823712e+00 -3.010995e-01 -3.010300e-01 -7.143548e+00 -8.455566e+00 -1.014606e+01 -2.515117e+01 -4.149099e+01 -inf -inf  -inf -inf -inf -inf
-1.778498e+01 -1.891904e+01 -1.881810e+01 -2.000000e+00 -9.230692e+00 -8.316332e+00 -1.811279e+01 -2.490521e+01 -1.535061e+01 -2.586490e+01 -7.618331e+00 -3.010995e-01 -3.010300e-01 -6.938168e+00 -8.250186e+00 -9.940678e+00 -2.453377e+01 -4.045769e+01 -inf -inf  -inf -inf -inf -inf
-1.755692e+01 -1.869025e+01 -1.859011e+01 -2.000000e+00 -9.001554e+00 -8.087193e+00 -1.763321e+01 -2.421019e+01 -1.488936e+01 -2.516955e+01 -7.389192e+00 -3.010998e-01 -3.010300e-01 -6.709028e+00 -8.021047e+00 -9.711538e+00 -2.383941e+01 -3.929096e+01 -inf -inf  -inf -inf -inf -inf
-1.733981e+01 -1.841571e+01 -1.837790e+01 -2.000000e+00 -8.783822e+00 -7.869460e+00 -1.717113e+01 -2.355870e+01 -1.445424e+01 -2.451785e+01 -7.171459e+00 -3.011000e-01 -3.010300e-01 -6.491295e+00 -7.803313e+00 -9.493806e+00 -2.318836e+01 -3.820916e+01 -inf -inf  -inf -inf -inf -inf
-1.709918e+01 -1.814116e+01 -1.814052e+01 -2.000000e+00 -8.542797e+00 -7.628432e+00 -1.664417e+01 -2.283944e+01 -1.397364e+01 -2.379868e+01 -6.930430e+00 -3.011005e-01 -3.010300e-01 -6.250268e+00 -7.562285e+00 -9.252777e+00 -2.246894e+01 -3.701505e+01 -inf -inf  -inf -inf -inf -inf
-1.688710e+01 -1.791238e+01 -1.793014e+01 -2.000000e+00 -8.330508e+00 -7.416138e+00 -1.616010e+01 -2.220519e+01 -1.355022e+01 -2.316461e+01 -6.718136e+00 -3.011012e-01 -3.010300e-01 -6.037973e+00 -7.349991e+00 -9.040483e+00 -2.183441e+01 -3.596038e+01 -inf -inf  -inf -inf -inf -inf
